Part,Tool,Cavity,Date,라벨,"FAI 6(A) / SPC F"
"Memphis Z Carrier",A,1CAV,2026-03-08,"Data 2",0.7148
"Memphis Z Carrier",A,1CAV,2026-03-08,"Data 3",0.7157
"Memphis Z Carrier",A,2CAV,2026-03-08,"Data 1",0.7178
"Memphis Z Carrier",A,2CAV,2026-03-08,"Data 2",0.7209
"Memphis Z Carrier",A,2CAV,2026-03-08,"Data 3",0.7189
"Memphis Z Carrier",A,3CAV,2026-03-08,"Data 1",0.7198
"Memphis Z Carrier",A,3CAV,2026-03-08,"Data 2",0.7233
"Memphis Z Carrier",A,3CAV,2026-03-08,"Data 3",0.7218
"Memphis Z Carrier",A,4CAV,2026-03-08,"Data 1",0.7176
"Memphis Z Carrier",A,4CAV,2026-03-08,"Data 2",0.719
"Memphis Z Carrier",A,4CAV,2026-03-08,"Data 3",0.7178
"Memphis Z Carrier",A,1CAV,2026-03-09,"Data 1",0.7157
"Memphis Z Carrier",A,1CAV,2026-03-09,"Data 2",0.7149
"Memphis Z Carrier",A,1CAV,2026-03-09,"Data 3",0.7128
"Memphis Z Carrier",A,2CAV,2026-03-09,"Data 1",0.718
"Memphis Z Carrier",A,2CAV,2026-03-09,"Data 2",0.7228
"Memphis Z Carrier",A,2CAV,2026-03-09,"Data 3",0.7192
"Memphis Z Carrier",A,3CAV,2026-03-09,"Data 1",0.7187
"Memphis Z Carrier",A,3CAV,2026-03-09,"Data 2",0.7204
"Memphis Z Carrier",A,3CAV,2026-03-09,"Data 3",0.7177
"Memphis Z Carrier",A,4CAV,2026-03-09,"Data 1",0.7147
"Memphis Z Carrier",A,4CAV,2026-03-09,"Data 2",0.7231
"Memphis Z Carrier",A,4CAV,2026-03-09,"Data 3",0.7152
"Memphis Z Carrier",A,1CAV,2026-03-10,"Data 1",0.7153
"Memphis Z Carrier",A,1CAV,2026-03-10,"Data 2",0.7199
"Memphis Z Carrier",A,1CAV,2026-03-10,"Data 3",0.7151
"Memphis Z Carrier",A,2CAV,2026-03-10,"Data 1",0.7194
"Memphis Z Carrier",A,2CAV,2026-03-10,"Data 2",0.7236
"Memphis Z Carrier",A,2CAV,2026-03-10,"Data 3",0.7176
"Memphis Z Carrier",A,3CAV,2026-03-10,"Data 1",0.7202
"Memphis Z Carrier",A,3CAV,2026-03-10,"Data 2",0.7214
"Memphis Z Carrier",A,3CAV,2026-03-10,"Data 3",0.7198
"Memphis Z Carrier",A,4CAV,2026-03-10,"Data 1",0.7172
"Memphis Z Carrier",A,4CAV,2026-03-10,"Data 2",0.7178
"Memphis Z Carrier",A,4CAV,2026-03-10,"Data 3",0.7164
