Part,Tool,Cavity,Date,라벨,"FAI 1 / SPC A"
"Memphis IR BASE",A,2CAV,2026-02-13,"Data 2",0.0103
"Memphis IR BASE",A,2CAV,2026-02-13,"Data 3",0.0167
"Memphis IR BASE",A,3CAV,2026-02-13,"Data 1",0.0136
"Memphis IR BASE",A,3CAV,2026-02-13,"Data 2",0.0151
"Memphis IR BASE",A,3CAV,2026-02-13,"Data 3",0.0204
"Memphis IR BASE",A,4CAV,2026-02-13,"Data 1",0.0157
"Memphis IR BASE",A,4CAV,2026-02-13,"Data 2",0.0145
"Memphis IR BASE",A,4CAV,2026-02-13,"Data 3",0.0172
"Memphis IR BASE",A,1CAV,2026-02-14,"Data 1",0.0112
"Memphis IR BASE",A,1CAV,2026-02-14,"Data 2",0.0125
"Memphis IR BASE",A,1CAV,2026-02-14,"Data 3",0.0139
"Memphis IR BASE",A,2CAV,2026-02-14,"Data 1",0.0085
"Memphis IR BASE",A,2CAV,2026-02-14,"Data 2",0.0098
"Memphis IR BASE",A,2CAV,2026-02-14,"Data 3",0.0119
"Memphis IR BASE",A,3CAV,2026-02-14,"Data 1",0.0127
"Memphis IR BASE",A,3CAV,2026-02-14,"Data 2",0.0133
"Memphis IR BASE",A,3CAV,2026-02-14,"Data 3",0.0129
"Memphis IR BASE",A,4CAV,2026-02-14,"Data 1",0.0129
"Memphis IR BASE",A,4CAV,2026-02-14,"Data 2",0.0138
"Memphis IR BASE",A,4CAV,2026-02-14,"Data 3",0.0153
"Memphis IR BASE",A,1CAV,2026-02-16,"Data 1",0.0135
"Memphis IR BASE",A,1CAV,2026-02-16,"Data 2",0.0147
"Memphis IR BASE",A,1CAV,2026-02-16,"Data 3",0.0134
"Memphis IR BASE",A,2CAV,2026-02-16,"Data 1",0.0131
"Memphis IR BASE",A,2CAV,2026-02-16,"Data 2",0.0123
"Memphis IR BASE",A,2CAV,2026-02-16,"Data 3",0.0123
"Memphis IR BASE",A,3CAV,2026-02-16,"Data 1",0.0164
"Memphis IR BASE",A,3CAV,2026-02-16,"Data 2",0.0232
"Memphis IR BASE",A,3CAV,2026-02-16,"Data 3",0.0174
"Memphis IR BASE",A,4CAV,2026-02-16,"Data 1",0.0095
"Memphis IR BASE",A,4CAV,2026-02-16,"Data 2",0.0122
"Memphis IR BASE",A,4CAV,2026-02-16,"Data 3",0.0154
"Memphis IR BASE",A,1CAV,2026-02-17,"Data 1",0.0112
"Memphis IR BASE",A,1CAV,2026-02-17,"Data 2",0.0099
"Memphis IR BASE",A,1CAV,2026-02-17,"Data 3",0.0061
"Memphis IR BASE",A,2CAV,2026-02-17,"Data 1",0.0192
"Memphis IR BASE",A,2CAV,2026-02-17,"Data 2",0.0146
"Memphis IR BASE",A,2CAV,2026-02-17,"Data 3",0.0183
"Memphis IR BASE",A,3CAV,2026-02-17,"Data 1",0.0239
"Memphis IR BASE",A,3CAV,2026-02-17,"Data 2",0.0282
"Memphis IR BASE",A,3CAV,2026-02-17,"Data 3",0.0241
"Memphis IR BASE",A,4CAV,2026-02-17,"Data 1",0.0119
"Memphis IR BASE",A,4CAV,2026-02-17,"Data 2",0.0121
"Memphis IR BASE",A,4CAV,2026-02-17,"Data 3",0.014
"Memphis IR BASE",A,1CAV,2026-02-18,"Data 1",0.0173
"Memphis IR BASE",A,1CAV,2026-02-18,"Data 2",0.0133
"Memphis IR BASE",A,1CAV,2026-02-18,"Data 3",0.0182
"Memphis IR BASE",A,2CAV,2026-02-18,"Data 1",0.0093
"Memphis IR BASE",A,2CAV,2026-02-18,"Data 2",0.0113
"Memphis IR BASE",A,2CAV,2026-02-18,"Data 3",0.0085
"Memphis IR BASE",A,3CAV,2026-02-18,"Data 1",0.0101
"Memphis IR BASE",A,3CAV,2026-02-18,"Data 2",0.0136
"Memphis IR BASE",A,3CAV,2026-02-18,"Data 3",0.0137
"Memphis IR BASE",A,4CAV,2026-02-18,"Data 1",0.0105
"Memphis IR BASE",A,4CAV,2026-02-18,"Data 2",0.0092
"Memphis IR BASE",A,4CAV,2026-02-18,"Data 3",0.0109
"Memphis IR BASE",A,1CAV,2026-02-19,"Data 1",0.0155
